# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_WITHIN_SAME_TREE -20503 8 4 53 4448632 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/test_unicode/about/end_date.95cec7fbf076.html
DUPTYPE_WITHIN_SAME_TREE -20503 9 4 53 4627977 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/test_unicode/about/end_date.95cec7fbf076.html
DUPTYPE_WITHIN_SAME_TREE -20503 9 4 53 4627952 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/test_import_course_2/about/end_date.95cec7fbf076.html
DUPTYPE_WITHIN_SAME_TREE -20503 8 4 53 4444669 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/test_unicode/about/end_date.html
DUPTYPE_WITHIN_SAME_TREE -20503 9 4 53 4611601 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/test_import_course/about/end_date.html
DUPTYPE_FIRST_OCCURRENCE 22915 9 5 53 4447653 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/conditional_and_poll/about/2013_Spring/prerequisites.08e9de24ab15.html
DUPTYPE_WITHIN_SAME_TREE -22915 9 5 53 4447660 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/word_cloud/about/2013_Spring/prerequisites.08e9de24ab15.html
DUPTYPE_WITHIN_SAME_TREE -22915 10 5 53 4627060 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/conditional_and_poll/about/2013_Spring/prerequisites.08e9de24ab15.html
DUPTYPE_WITHIN_SAME_TREE -22915 9 5 53 4444206 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/conditional_and_poll/about/2013_Spring/prerequisites.html
DUPTYPE_WITHIN_SAME_TREE -22915 9 5 53 4444235 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/word_cloud/about/2013_Spring/prerequisites.html
DUPTYPE_WITHIN_SAME_TREE -22915 10 5 53 4611975 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/word_cloud/about/2013_Spring/prerequisites.html
DUPTYPE_WITHIN_SAME_TREE -22915 10 5 53 4627067 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/word_cloud/about/2013_Spring/prerequisites.08e9de24ab15.html
DUPTYPE_WITHIN_SAME_TREE -22915 10 5 53 4611946 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/conditional_and_poll/about/2013_Spring/prerequisites.html
DUPTYPE_FIRST_OCCURRENCE 8283 4 5 53 4452740 5 /openedx/staticfiles/js/bower/jquery/src/outro.0b9c0e7d4b72.js
DUPTYPE_WITHIN_SAME_TREE -8283 5 5 53 4610479 5 /openedx/staticfiles/studio/js/bower/jquery/src/outro.js
DUPTYPE_WITHIN_SAME_TREE -8283 4 5 53 4442912 5 /openedx/staticfiles/js/bower/jquery/src/outro.js
DUPTYPE_WITHIN_SAME_TREE -8283 8 5 53 4443534 5 /openedx/staticfiles/xblock/resources/edx_sga/static/js/bower/jquery/src/outro.js
DUPTYPE_WITHIN_SAME_TREE -8283 5 5 53 4630159 5 /openedx/staticfiles/studio/js/bower/jquery/src/outro.0b9c0e7d4b72.js
DUPTYPE_WITHIN_SAME_TREE -8283 8 5 53 4448196 5 /openedx/staticfiles/xblock/resources/edx_sga/static/js/bower/jquery/src/outro.0b9c0e7d4b72.js
DUPTYPE_WITHIN_SAME_TREE -8283 9 5 53 4614070 5 /openedx/staticfiles/studio/xblock/resources/edx_sga/static/js/bower/jquery/src/outro.js
DUPTYPE_WITHIN_SAME_TREE -8283 9 5 53 4628254 5 /openedx/staticfiles/studio/xblock/resources/edx_sga/static/js/bower/jquery/src/outro.0b9c0e7d4b72.js
DUPTYPE_FIRST_OCCURRENCE 20063 8 6 53 4448380 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_ignore/about/index.085d5d450c9c.html
DUPTYPE_WITHIN_SAME_TREE -20063 8 6 53 4448379 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_ignore/static/example.085d5d450c9c.txt
DUPTYPE_WITHIN_SAME_TREE -20063 8 6 53 4444169 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_ignore/about/index.html
DUPTYPE_WITHIN_SAME_TREE -20063 8 6 53 4444167 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_ignore/static/example.txt
DUPTYPE_WITHIN_SAME_TREE -20063 9 6 53 4627724 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_ignore/static/example.085d5d450c9c.txt
DUPTYPE_WITHIN_SAME_TREE -20063 9 6 53 4627725 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_ignore/about/index.085d5d450c9c.html
DUPTYPE_WITHIN_SAME_TREE -20063 9 6 53 4611909 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_ignore/about/index.html
DUPTYPE_WITHIN_SAME_TREE -20063 9 6 53 4611907 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_ignore/static/example.txt
DUPTYPE_FIRST_OCCURRENCE 23045 9 7 53 4447670 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/toy/about/2012_Fall/effort.88f1efb29dc2.html
DUPTYPE_WITHIN_SAME_TREE -23045 10 7 53 4612085 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/toy/about/2012_Fall/effort.html
DUPTYPE_WITHIN_SAME_TREE -23045 9 7 53 4444345 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/toy/about/2012_Fall/effort.html
DUPTYPE_WITHIN_SAME_TREE -23045 10 7 53 4627077 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/toy/about/2012_Fall/effort.88f1efb29dc2.html
DUPTYPE_FIRST_OCCURRENCE 20037 8 9 53 4448258 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_after_rename/assets/assets.cc0c8eb1758e.xml
DUPTYPE_WITHIN_SAME_TREE -20037 8 9 53 4444262 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_before_rename/assets/assets.xml
DUPTYPE_WITHIN_SAME_TREE -20037 9 9 53 4611632 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_after_rename/assets/assets.xml
DUPTYPE_WITHIN_SAME_TREE -20037 8 9 53 4443892 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_after_rename/assets/assets.xml
DUPTYPE_WITHIN_SAME_TREE -20037 9 9 53 4627746 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_before_rename/assets/assets.cc0c8eb1758e.xml
DUPTYPE_WITHIN_SAME_TREE -20037 9 9 53 4627603 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_after_rename/assets/assets.cc0c8eb1758e.xml
DUPTYPE_WITHIN_SAME_TREE -20037 8 9 53 4448401 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_before_rename/assets/assets.cc0c8eb1758e.xml
DUPTYPE_WITHIN_SAME_TREE -20037 9 9 53 4612002 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_before_rename/assets/assets.xml
DUPTYPE_FIRST_OCCURRENCE 19981 8 9 53 4448252 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/2014/info/handouts.bd911722f02b.html
DUPTYPE_WITHIN_SAME_TREE -19981 9 9 53 4627674 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_info_updates/info/handouts.bd911722f02b.html
DUPTYPE_WITHIN_SAME_TREE -19981 8 9 53 4448329 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_info_updates/info/handouts.bd911722f02b.html
DUPTYPE_WITHIN_SAME_TREE -19981 8 9 53 4443874 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/2014/info/handouts.html
DUPTYPE_WITHIN_SAME_TREE -19981 9 9 53 4611776 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_info_updates/info/handouts.html
DUPTYPE_WITHIN_SAME_TREE -19981 8 9 53 4444036 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_info_updates/info/handouts.html
DUPTYPE_WITHIN_SAME_TREE -19981 9 9 53 4627597 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/2014/info/handouts.bd911722f02b.html
DUPTYPE_WITHIN_SAME_TREE -19981 9 9 53 4611614 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/2014/info/handouts.html
DUPTYPE_FIRST_OCCURRENCE 20411 8 10 53 4448360 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/scoreable/assets/assets.5acc90915fbe.xml
DUPTYPE_WITHIN_SAME_TREE -20411 9 10 53 4627705 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/scoreable/assets/assets.5acc90915fbe.xml
DUPTYPE_WITHIN_SAME_TREE -20411 8 10 53 4444132 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/scoreable/assets/assets.xml
DUPTYPE_WITHIN_SAME_TREE -20411 9 10 53 4611872 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/scoreable/assets/assets.xml
DUPTYPE_FIRST_OCCURRENCE 20111 8 11 53 4448321 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/library_empty_problem/problem/afe9dbb29b724181944f56617c72b3e5.05b2263b1cf4.xml
DUPTYPE_WITHIN_SAME_TREE -20111 8 11 53 4444009 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/library_empty_problem/problem/afe9dbb29b724181944f56617c72b3e5.xml
DUPTYPE_WITHIN_SAME_TREE -20111 9 11 53 4611749 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/library_empty_problem/problem/afe9dbb29b724181944f56617c72b3e5.xml
DUPTYPE_WITHIN_SAME_TREE -20111 9 11 53 4627666 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/library_empty_problem/problem/afe9dbb29b724181944f56617c72b3e5.05b2263b1cf4.xml
DUPTYPE_FIRST_OCCURRENCE 20401 8 14 53 4448478 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/manual-testing-complete/word_cloud/5d607a74f7214eaa92079c3195e0badb.1f48752b70b4.xml
DUPTYPE_WITHIN_SAME_TREE -20401 9 14 53 4627823 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/manual-testing-complete/word_cloud/5d607a74f7214eaa92079c3195e0badb.1f48752b70b4.xml
DUPTYPE_WITHIN_SAME_TREE -20401 9 14 53 4612164 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/manual-testing-complete/word_cloud/5d607a74f7214eaa92079c3195e0badb.xml
DUPTYPE_WITHIN_SAME_TREE -20401 8 14 53 4444424 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/manual-testing-complete/word_cloud/5d607a74f7214eaa92079c3195e0badb.xml
